Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw,g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,1.28,,1.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,0.244,,4.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,0.137,,24.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,0.065,,72.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,>1,,0.25,NCTC 2544,MTT,"McLaughlin, 2021, Chemosphere",10.1016/j.chemosphere.2020.129432,Incubation time is 15 minutes.
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,0.086,,24.0,NCTC 2544,MTT,"McLaughlin, 2021, Chemosphere",10.1016/j.chemosphere.2020.129432,
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,>1,,0.25,HaCat,MTT,"McLaughlin, 2021, Chemosphere",10.1016/j.chemosphere.2020.129432,Incubation time is 15 minutes.
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,0.006,,24.0,HaCat,MTT,"McLaughlin, 2021, Chemosphere",10.1016/j.chemosphere.2020.129432,
1-octylquinolin-1-ium tetrafluoroborate,C17H24BF4N,952429-70-8,F[B-](F)(F)F.C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,329.19,0.0014,,44.0,IPC-81,WST-1,"Ranke, 2007, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2006.08.008,Lg(EC50) = 0.14 (uM).
1-tetradecylquinolin-1-ium bromide,C23H36BrN,77101-52-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],406.452,0.015,,1.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-tetradecylquinolin-1-ium bromide,C23H36BrN,77101-52-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],406.452,0.007,,4.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-tetradecylquinolin-1-ium bromide,C23H36BrN,77101-52-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],406.452,0.003,,24.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-tetradecylquinolin-1-ium bromide,C23H36BrN,77101-52-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],406.452,0.002,,72.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-tetradecylquinolin-1-ium bromide,C23H36BrN,77101-52-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],406.452,0.027,,0.25,NCTC 2544,MTT,"McLaughlin, 2021, Chemosphere",10.1016/j.chemosphere.2020.129432,Incubation time is 15 minutes.
1-tetradecylquinolin-1-ium bromide,C23H36BrN,77101-52-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],406.452,0.002,,24.0,NCTC 2544,MTT,"McLaughlin, 2021, Chemosphere",10.1016/j.chemosphere.2020.129432,
1-tetradecylquinolin-1-ium bromide,C23H36BrN,77101-52-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],406.452,0.037,,0.25,HaCat,MTT,"McLaughlin, 2021, Chemosphere",10.1016/j.chemosphere.2020.129432,Incubation time is 15 minutes.
1-tetradecylquinolin-1-ium bromide,C23H36BrN,77101-52-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],406.452,0.00041,,24.0,HaCat,MTT,"McLaughlin, 2021, Chemosphere",10.1016/j.chemosphere.2020.129432,
2-((methylthio)methyl)isoquinolin-2-ium chloride,C11H12ClNS,1379683-38-1,[Cl-].S(C)C[N+]=1C=CC=2C=CC=CC2C1,CSC[n+]1ccc2ccccc2c1.[Cl-],225.744,>0.5,,24.0,HeLa,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
2-((methylthio)methyl)isoquinolin-2-ium chloride,C11H12ClNS,1379683-38-1,[Cl-].S(C)C[N+]=1C=CC=2C=CC=CC2C1,CSC[n+]1ccc2ccccc2c1.[Cl-],225.744,>0.5,,48.0,HeLa,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
2-((methylthio)methyl)isoquinolin-2-ium chloride,C11H12ClNS,1379683-38-1,[Cl-].S(C)C[N+]=1C=CC=2C=CC=CC2C1,CSC[n+]1ccc2ccccc2c1.[Cl-],225.744,>0.5,,24.0,K562,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
2-((methylthio)methyl)isoquinolin-2-ium chloride,C11H12ClNS,1379683-38-1,[Cl-].S(C)C[N+]=1C=CC=2C=CC=CC2C1,CSC[n+]1ccc2ccccc2c1.[Cl-],225.744,>0.5,,48.0,K562,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
2-((methylthio)methyl)isoquinolin-2-ium chloride,C11H12ClNS,1379683-38-1,[Cl-].S(C)C[N+]=1C=CC=2C=CC=CC2C1,CSC[n+]1ccc2ccccc2c1.[Cl-],225.744,>0.5,,24.0,HUVEC,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
2-((methylthio)methyl)isoquinolin-2-ium chloride,C11H12ClNS,1379683-38-1,[Cl-].S(C)C[N+]=1C=CC=2C=CC=CC2C1,CSC[n+]1ccc2ccccc2c1.[Cl-],225.744,>0.5,,48.0,HUVEC,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
6-hydroxy-1-tetradecylquinolin-1-ium bromide,C23H36BrNO,1632500-50-5,[Br-].OC1=CC=C2C(C=CC=[N+]2CCCCCCCCCCCCCC)=C1,CCCCCCCCCCCCCC[n+]1cccc2cc(O)ccc21.[Br-],422.451,0.032,0.001 (SEM),24.0,CHO-K1,MTT,"Malinak, 2014, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2014.09.060,
