Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw,g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
"1-ethyl-4-(2-hydroxyethyl)-3-pentyl-1H-1,2,3-triazol-3-ium 4-methylbenzenesulfonate",C18H29N3O4S,2559613-94-2,O=S(=O)([O-])C1=CC=C(C=C1)C.OCCC1=CN(N=[N+]1CCCCC)CC,CCCCC[n+]1nn(CC)cc1CCO.Cc1ccc(S(=O)(=O)[O-])cc1,383.514,0.172,0.013 (ND),48,FHC,CellTiter-Glo,"Pan, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.127521,"EC50 = 65.9 uM/mL, 4.9 (SD)."
"1-ethyl-4-(2-hydroxyethyl)-3-pentyl-1H-1,2,3-triazol-3-ium 4-methylbenzenesulfonate",C18H29N3O4S,2559613-94-2,O=S(=O)([O-])C1=CC=C(C=C1)C.OCCC1=CN(N=[N+]1CCCCC)CC,CCCCC[n+]1nn(CC)cc1CCO.Cc1ccc(S(=O)(=O)[O-])cc1,383.514,0.269,0.031 (ND),48,GES-1,CellTiter-Glo,"Pan, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.127521,"EC50 = 103.1 uM/mL, 11.7 (SD)."
"1-ethyl-4-(2-hydroxyethyl)-3-pentyl-1H-1,2,3-triazol-3-ium 4-methylbenzenesulfonate",C18H29N3O4S,2559613-94-2,O=S(=O)([O-])C1=CC=C(C=C1)C.OCCC1=CN(N=[N+]1CCCCC)CC,CCCCC[n+]1nn(CC)cc1CCO.Cc1ccc(S(=O)(=O)[O-])cc1,383.514,0.325,0.033 (ND),48,HepG2,CellTiter-Glo,"Pan, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.127521,"EC50 = 124.6 uM/mL, 12.7 (SD)."
"1-ethyl-4-(2-hydroxyethyl)-3-pentyl-1H-1,2,3-triazol-3-ium 4-methylbenzenesulfonate",C18H29N3O4S,2559613-94-2,O=S(=O)([O-])C1=CC=C(C=C1)C.OCCC1=CN(N=[N+]1CCCCC)CC,CCCCC[n+]1nn(CC)cc1CCO.Cc1ccc(S(=O)(=O)[O-])cc1,383.514,0.502,0.015 (ND),48,HEK293,CellTiter-Glo,"Pan, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.127521,"EC50 = 192.4 uM/mL, 5.8 (SD)."
"1-methyl-3-octyl-1H-1,2,3-triazol-3-ium bromide",C11H22BrN3,,[Br-].CCCCCCCC[N+]1=NN(C)C=C1,CCCCCCCC[n+]1ccn(C)n1.[Br-],276.222,0.08,0.009 (ND),48,FHC,CellTiter-Glo,"Pan, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.127521,"EC50 = 22 uM/mL, 2.5 (SD)."
"1-N-(Ferrocenylmethyl)-3-tetradecyl-1,2,4-triazolium bromide",C17H33*BrN3,2460466-69-5,CCCCCCCCCCCCCC[N+]1=CN(C[1*])N=C1.[Br-],[1*]Cn1c[n+](CCCCCCCCCCCCCC)cn1.[Br-],544.39,0.000147,,48,MCF-7,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,"LC50, concentration of drug resulting in a 50% reduction in the measured protein at the end of the drug treatment as compared to that at the beginning. SMILES from SciFinder - [Br-].N1=C[N+](=CN1C[C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]789%105643[CH]=%11[CH]%10=[CH]9[CH-]8[CH]%117)CCCCCCCCCCCCCC"
"1-N-(Ferrocenylmethyl)-3-tetradecyl-1,2,4-triazolium bromide",C17H33*BrN3,2460466-69-5,CCCCCCCCCCCCCC[N+]1=CN(C[1*])N=C1.[Br-],[1*]Cn1c[n+](CCCCCCCCCCCCCC)cn1.[Br-],544.39,0.000174,,48,Vero,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,"LC50, concentration of drug resulting in a 50% reduction in the measured protein at the end of the drug treatment as compared to that at the beginning. SMILES from SciFinder - [Br-].N1=C[N+](=CN1C[C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]789%105643[CH]=%11[CH]%10=[CH]9[CH-]8[CH]%117)CCCCCCCCCCCCCC"
"3-ethyl-1-(2-(2-(2-methoxyethoxy)ethoxy)ethyl)-4-((octyloxy)methyl)-1H-1,2,3-triazol-3-ium methanesulfonate",C21H43N3O7S,2944452-00-8,O=S(=O)([O-])C.N=1N(C=C([N+]1CC)COCCCCCCCC)CCOCCOCCOC,CCCCCCCCOCc1cn(CCOCCOCCOC)n[n+]1CC.CS(=O)(=O)[O-],481.656,0.0137,,48,GES-1,CellTiter-Lumi Plus,"Huang, 2023, J. Hazard. Mater.",10.1016/j.jhazmat.2023.131430,
"3-ethyl-1-(2-(2-(2-methoxyethoxy)ethoxy)ethyl)-4-((octyloxy)methyl)-1H-1,2,3-triazol-3-ium methanesulfonate",C21H43N3O7S,2944452-00-8,O=S(=O)([O-])C.N=1N(C=C([N+]1CC)COCCCCCCCC)CCOCCOCCOC,CCCCCCCCOCc1cn(CCOCCOCCOC)n[n+]1CC.CS(=O)(=O)[O-],481.656,0.0179,,48,FHC,CellTiter-Lumi Plus,"Huang, 2023, J. Hazard. Mater.",10.1016/j.jhazmat.2023.131430,
"3-ethyl-1-(2-methoxyethyl)-4-((octyloxy)methyl)-1H-1,2,3-triazol-3-ium methanesulfonate",C17H35N3O5S,2944451-98-1,O=S(=O)([O-])C.N=1N(C=C([N+]1CC)COCCCCCCCC)CCOC,CCCCCCCCOCc1cn(CCOC)n[n+]1CC.CS(=O)(=O)[O-],393.55,0.0007,0.0002 (SD),48,GES-1,CellTiter-Lumi Plus,"Huang, 2023, J. Hazard. Mater.",10.1016/j.jhazmat.2023.131430,
"3-ethyl-1-(2-methoxyethyl)-4-((octyloxy)methyl)-1H-1,2,3-triazol-3-ium methanesulfonate",C17H35N3O5S,2944451-98-1,O=S(=O)([O-])C.N=1N(C=C([N+]1CC)COCCCCCCCC)CCOC,CCCCCCCCOCc1cn(CCOC)n[n+]1CC.CS(=O)(=O)[O-],393.55,0.0013,0.0003 (SD),48,FHC,CellTiter-Lumi Plus,"Huang, 2023, J. Hazard. Mater.",10.1016/j.jhazmat.2023.131430,
