Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw, g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium trifluoromethanesulfonate,C30H46F3N3O3S2,2361176-52-3,O=S(=O)([O-])C(F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,617.844,0.00325,0.00032 (ND),72,MDA-MB-231,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium trifluoromethanesulfonate,C30H46F3N3O3S2,2361176-52-3,O=S(=O)([O-])C(F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,617.844,0.00329,0.00034 (ND),72,SKBR3,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octadecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium trifluoromethanesulfonate,C30H46F3N3O3S2,2361176-52-3,O=S(=O)([O-])C(F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCCCCCC)C,CCCCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,617.844,0.00133,0.0002 (ND),72,K562,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C19H26IN3S,1555536-08-7,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCC)C,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],455.409,0.1,,72,HT29,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C19H26IN3S,1555536-08-7,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCC)C,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],455.409,0.0122,0.00012 (ND),72,MDA-MB-231,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C19H26IN3S,1555536-08-7,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCC)C,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],455.409,0.1,,72,SKBR3,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C19H26IN3S,1555536-08-7,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCC)C,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],455.409,0.01048,0.00065 (ND),72,K562,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium nitrate,C19H26N4O3S,2361176-43-2,O=N(=O)[O-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCC)C,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],390.509,0.1,,72,HT29,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium nitrate,C19H26N4O3S,2361176-43-2,O=N(=O)[O-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCC)C,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],390.509,0.01149,0.00134 (ND),72,MDA-MB-231,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium nitrate,C19H26N4O3S,2361176-43-2,O=N(=O)[O-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCC)C,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],390.509,0.00386,0.000092 (ND),72,SKBR3,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-octyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium nitrate,C19H26N4O3S,2361176-43-2,O=N(=O)[O-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCC)C,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],390.509,0.1,,72,K562,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-tetradecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C25H38IN3S,2361176-36-3,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCC)C,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],539.571,0.00325,0.00015 (ND),72,HT29,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-tetradecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C25H38IN3S,2361176-36-3,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCC)C,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],539.571,0.00903,0.00068 (ND),72,MDA-MB-231,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-tetradecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C25H38IN3S,2361176-36-3,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCC)C,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],539.571,0.00427,0.000028 (ND),72,SKBR3,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-tetradecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium iodide,C25H38IN3S,2361176-36-3,[I-].N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCC)C,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.[I-],539.571,0.00107,0.00004 (ND),72,K562,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-tetradecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium tetrafluoroborate,C25H38BF4N3S,2361176-50-1,F[B-](F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCC)C,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,499.471,0.00614,0.00159 (ND),72,HT29,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-tetradecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium tetrafluoroborate,C25H38BF4N3S,2361176-50-1,F[B-](F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCC)C,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,499.471,0.00878,0.00141 (ND),72,MDA-MB-231,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-tetradecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium tetrafluoroborate,C25H38BF4N3S,2361176-50-1,F[B-](F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCC)C,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,499.471,0.00424,0.000064 (ND),72,SKBR3,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-methyl-3-tetradecyl-2-(thiazol-4-yl)-1H-benzo[d]imidazol-3-ium tetrafluoroborate,C25H38BF4N3S,2361176-50-1,F[B-](F)(F)F.N1=CSC=C1C=2N(C3=CC=CC=C3[N+]2CCCCCCCCCCCCCC)C,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,499.471,0.00116,0.00008 (ND),72,K562,MTT,"El Bourakadi, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.03.007,
1-N-(ferrocenylmethyl)3-N-(decyl)benzimidazolium bromide,C18H28*BrN2,2460466-56-0,[1*]Cn(c[n+]1CCCCCCCCCC)c2c1cccc2.[Br-],[1*]Cn1c[n+](CCCCCCCCCC)c2ccccc21.[Br-],537.36,0.000148,,48,MCF-7,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,SMILES from SciFinder - [Br-].C=1C=CC2=C(C1)N(C=[N+]2C[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]89%10%116754[CH]=%12[CH]%11=[CH]%10[CH-]9[CH]%128)CCCCCCCCCC
1-N-(ferrocenylmethyl)3-N-(decyl)benzimidazolium bromide,C18H28*BrN2,2460466-56-0,[1*]Cn(c[n+]1CCCCCCCCCC)c2c1cccc2.[Br-],[1*]Cn1c[n+](CCCCCCCCCC)c2ccccc21.[Br-],537.36,0.05995,,48,Vero,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,SMILES from SciFinder - [Br-].C=1C=CC2=C(C1)N(C=[N+]2C[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]89%10%116754[CH]=%12[CH]%11=[CH]%10[CH-]9[CH]%128)CCCCCCCCCC
1-N-(ferrocenylmethyl)3-N-(dodecyl)benzimidazolium bromide,C20H32*BrN2,2460466-58-2,[1*]Cn(c[n+]1CCCCCCCCCCCC)c2c1cccc2.[Br-],[1*]Cn1c[n+](CCCCCCCCCCCC)c2ccccc21.[Br-],565.41,0.000141,,48,MCF-7,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,SMILES from SciFinder - [Br-].C=1C=CC2=C(C1)N(C=[N+]2C[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]89%10%116754[CH]=%12[CH]%11=[CH]%10[CH-]9[CH]%128)CCCCCCCCCCCC
1-N-(ferrocenylmethyl)3-N-(dodecyl)benzimidazolium bromide,C20H32*BrN2,2460466-58-2,[1*]Cn(c[n+]1CCCCCCCCCCCC)c2c1cccc2.[Br-],[1*]Cn1c[n+](CCCCCCCCCCCC)c2ccccc21.[Br-],565.41,0.03885,,48,Vero,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,SMILES from SciFinder - [Br-].C=1C=CC2=C(C1)N(C=[N+]2C[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]89%10%116754[CH]=%12[CH]%11=[CH]%10[CH-]9[CH]%128)CCCCCCCCCCCC
1-N-(ferrocenylmethyl)-3-N-(octyl)benzimidazolium bromide,C16H24*BrN2,2460466-55-9,[1*]Cn(c[n+]1CCCCCCCC)c2c1cccc2.[Br-],[1*]Cn1c[n+](CCCCCCCC)c2ccccc21.[Br-],509.3,0.000157,,48,MCF-7,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,SMILES from SciFinder - [Br-].C=1C=CC2=C(C1)N(C=[N+]2C[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]89%10%116754[CH]=%12[CH]%11=[CH]%10[CH-]9[CH]%128)CCCCCCCC
1-N-(ferrocenylmethyl)-3-N-(octyl)benzimidazolium bromide,C16H24*BrN2,2460466-55-9,[1*]Cn(c[n+]1CCCCCCCC)c2c1cccc2.[Br-],[1*]Cn1c[n+](CCCCCCCC)c2ccccc21.[Br-],509.3,0.01846,,48,Vero,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,SMILES from SciFinder - [Br-].C=1C=CC2=C(C1)N(C=[N+]2C[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]89%10%116754[CH]=%12[CH]%11=[CH]%10[CH-]9[CH]%128)CCCCCCCC
1-N-(ferrocenylmethyl)3-N-(tetradecyl)benzimidazolium bromide,C22H36*BrN2,2460466-60-6,[1*]Cn(c[n+]1CCCCCCCCCCCCCC)c2c1cccc2.[Br-],[1*]Cn1c[n+](CCCCCCCCCCCCCC)c2ccccc21.[Br-],593.46,0.000134,,48,MCF-7,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,SMILES from SciFinder - [Br-].C=1C=CC2=C(C1)N(C=[N+]2C[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]89%10%116754[CH]=%12[CH]%11=[CH]%10[CH-]9[CH]%128)CCCCCCCCCCCCCC
1-N-(ferrocenylmethyl)3-N-(tetradecyl)benzimidazolium bromide,C22H36*BrN2,2460466-60-6,[1*]Cn(c[n+]1CCCCCCCCCCCCCC)c2c1cccc2.[Br-],[1*]Cn1c[n+](CCCCCCCCCCCCCC)c2ccccc21.[Br-],593.46,0.008,,48,Vero,SRB,"Bansode, 2019, J. Mol. Liq.",10.1016/j.molliq.2019.111182,SMILES from SciFinder - [Br-].C=1C=CC2=C(C1)N(C=[N+]2C[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]89%10%116754[CH]=%12[CH]%11=[CH]%10[CH-]9[CH]%128)CCCCCCCCCCCCCC
3-(3-(9H-carbazol-9-yl)propyl)-1-(2-(4-methoxyphenyl)-2-oxoethyl)-1H-benzo[d]imidazol-3-ium bromide,C31H28BrN3O2,1870029-78-9,[Br-].O=C(C1=CC=C(OC)C=C1)CN2C=[N+](C=3C=CC=CC32)CCCN4C=5C=CC=CC5C=6C=CC=CC64,COc1ccc(C(=O)Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3ccccc32)cc1.[Br-],554.488,0.00228,,48,HL60,MTS,"Liu, 2015, Sci. Rep.",10.1038/srep13101,
3-(3-(9H-carbazol-9-yl)propyl)-1-(2-(4-methoxyphenyl)-2-oxoethyl)-1H-benzo[d]imidazol-3-ium bromide,C31H28BrN3O2,1870029-78-9,[Br-].O=C(C1=CC=C(OC)C=C1)CN2C=[N+](C=3C=CC=CC32)CCCN4C=5C=CC=CC5C=6C=CC=CC64,COc1ccc(C(=O)Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3ccccc32)cc1.[Br-],554.488,0.01158,,48,SMMC-7721,MTS,"Liu, 2015, Sci. Rep.",10.1038/srep13101,
3-(3-(9H-carbazol-9-yl)propyl)-1-(2-(4-methoxyphenyl)-2-oxoethyl)-1H-benzo[d]imidazol-3-ium bromide,C31H28BrN3O2,1870029-78-9,[Br-].O=C(C1=CC=C(OC)C=C1)CN2C=[N+](C=3C=CC=CC32)CCCN4C=5C=CC=CC5C=6C=CC=CC64,COc1ccc(C(=O)Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3ccccc32)cc1.[Br-],554.488,0.01557,,48,A549,MTS,"Liu, 2015, Sci. Rep.", 10.1038/srep13101,
3-(3-(9H-carbazol-9-yl)propyl)-1-(2-(4-methoxyphenyl)-2-oxoethyl)-1H-benzo[d]imidazol-3-ium bromide,C31H28BrN3O2,1870029-78-9,[Br-].O=C(C1=CC=C(OC)C=C1)CN2C=[N+](C=3C=CC=CC32)CCCN4C=5C=CC=CC5C=6C=CC=CC64,COc1ccc(C(=O)Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3ccccc32)cc1.[Br-],554.488,0.00592,,48,MCF-7,MTS,"Liu, 2015, Sci. Rep.",10.1038/srep13101,
3-(3-(9H-carbazol-9-yl)propyl)-1-(2-(4-methoxyphenyl)-2-oxoethyl)-1H-benzo[d]imidazol-3-ium bromide,C31H28BrN3O2,1870029-78-9,[Br-].O=C(C1=CC=C(OC)C=C1)CN2C=[N+](C=3C=CC=CC32)CCCN4C=5C=CC=CC5C=6C=CC=CC64,COc1ccc(C(=O)Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3ccccc32)cc1.[Br-],554.488,0.01226,,48,SW480,MTS,"Liu, 2015, Sci. Rep.",10.1038/srep13101,
"3-(3-(9H-carbazol-9-yl)propyl)-1-(2-(4-methoxyphenyl)-2-oxoethyl)-5,6-dimethyl-1H-benzo[d]imidazol-3-ium bromide",C33H32BrN3O2,1870029-90-5,[Br-].O=C(C1=CC=C(OC)C=C1)CN2C=[N+](C=3C=C(C(=CC32)C)C)CCCN4C=5C=CC=CC5C=6C=CC=CC64,COc1ccc(C(=O)Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3cc(C)c(C)cc32)cc1.[Br-],582.542,0.00199,,48,HL60,MTS,"Liu, 2015, Sci. Rep.",10.1038/srep13101,
"3-(3-(9H-carbazol-9-yl)propyl)-1-(2-(4-methoxyphenyl)-2-oxoethyl)-5,6-dimethyl-1H-benzo[d]imidazol-3-ium bromide",C33H32BrN3O2,1870029-90-5,[Br-].O=C(C1=CC=C(OC)C=C1)CN2C=[N+](C=3C=C(C(=CC32)C)C)CCCN4C=5C=CC=CC5C=6C=CC=CC64,COc1ccc(C(=O)Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3cc(C)c(C)cc32)cc1.[Br-],582.542,0.00659,,48,SMMC-7721,MTS,"Liu, 2015, Sci. Rep.",10.1038/srep13101,
"3-(3-(9H-carbazol-9-yl)propyl)-1-(2-(4-methoxyphenyl)-2-oxoethyl)-5,6-dimethyl-1H-benzo[d]imidazol-3-ium bromide",C33H32BrN3O2,1870029-90-5,[Br-].O=C(C1=CC=C(OC)C=C1)CN2C=[N+](C=3C=C(C(=CC32)C)C)CCCN4C=5C=CC=CC5C=6C=CC=CC64,COc1ccc(C(=O)Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3cc(C)c(C)cc32)cc1.[Br-],582.542,0.01111,,48,A549,MTS,"Liu, 2015, Sci. Rep.",10.1038/srep13101,
