Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw, g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
"2-hydroxy-N,N,N-trimethylethan-1-aminium (1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-3aH-cyclopenta[a]chrysene-3a-carboxylate",C35H61NO4,1360613-63-3,C([N+](C)(C)C)CO.C([O-])(=O)[C@]12[C@@]([C@@]3([C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])[H])([C@H](C(C)=C)CC2)[H],C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,559.876,0.0359,,24,A375,MTT,"Suresh, 2012, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2011.12.102,The exact incubation time is unclear.
"2-hydroxy-N,N,N-trimethylethan-1-aminium (1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-3aH-cyclopenta[a]chrysene-3a-carboxylate",C35H61NO4,1360613-63-3,C([N+](C)(C)C)CO.C([O-])(=O)[C@]12[C@@]([C@@]3([C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])[H])([C@H](C(C)=C)CC2)[H],C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,559.876,0.0675,,24,SH-SY5Y,MTT,"Suresh, 2012, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2011.12.102,The exact incubation time is unclear.
"2-hydroxy-N,N,N-trimethylethan-1-aminium (1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-3aH-cyclopenta[a]chrysene-3a-carboxylate",C35H61NO4,1360613-63-3,C([N+](C)(C)C)CO.C([O-])(=O)[C@]12[C@@]([C@@]3([C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])[H])([C@H](C(C)=C)CC2)[H],C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,559.876,0.0254,,24,MCF-7,MTT,"Suresh, 2012, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2011.12.102,The exact incubation time is unclear.
"2-hydroxy-N,N,N-trimethylethan-1-aminium (1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-3aH-cyclopenta[a]chrysene-3a-carboxylate",C35H61NO4,1360613-63-3,C([N+](C)(C)C)CO.C([O-])(=O)[C@]12[C@@]([C@@]3([C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])[H])([C@H](C(C)=C)CC2)[H],C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,559.876,0.1997,,24,A431,MTT,"Suresh, 2012, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2011.12.102,The exact incubation time is unclear.
"2-hydroxy-N,N,N-trimethylethan-1-aminium (1S,2R,4aS,6aS,6bR,8aR,10S,12aR,12bR,14bS)-10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylate",C35H61NO4,2814556-56-2,C([N+](C)(C)C)CO.C([O-])(=O)[C@]12[C@](C=3[C@@](C)(CC1)[C@@]4(C)[C@](CC3)([C@]5(C)[C@@](CC4)(C(C)(C)[C@@H](O)CC5)[H])[H])([C@@H](C)[C@H](C)CC2)[H],C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)[O-])CC[C@H]1C.C[N+](C)(C)CCO,559.876,0.00893,,48,HepG2,MTT,"Fan, 2021, J. Mol. Liq.",10.1016/j.molliq.2021.115837,
"2-hydroxy-N,N,N-trimethylethan-1-aminium (2S,5R,6R)-6-((R)-2-amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",C21H32N4O5S,1418122-69-6,C([N+](C)(C)C)CO.C([O-])(=O)[C@@H]1N2[C@@]([C@H](NC([C@H](N)C3=CC=CC=C3)=O)C2=O)(SC1(C)C)[H],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].C[N+](C)(C)CCO,452.577,>0.000017,,?,MG63,MTT,"Ferraz, 2015, ChemMedChem",10.1002/cmdc.201500142,LD50 0.000031 mM.
"2-hydroxy-N,N,N-trimethylethan-1-aminium (2S,5R,6R)-6-((R)-2-amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",C21H32N4O5S,1418122-69-6,C([N+](C)(C)C)CO.C([O-])(=O)[C@@H]1N2[C@@]([C@H](NC([C@H](N)C3=CC=CC=C3)=O)C2=O)(SC1(C)C)[H],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].C[N+](C)(C)CCO,452.577,>0.001619,,?,HepG2,MTT,"Ferraz, 2015, ChemMedChem",10.1002/cmdc.201500142,LD50 0.005765 mM.
"2-hydroxy-N,N,N-trimethylethan-1-aminium (2S,5R,6R)-6-((R)-2-amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",C21H32N4O5S,1418122-69-6,C([N+](C)(C)C)CO.C([O-])(=O)[C@@H]1N2[C@@]([C@H](NC([C@H](N)C3=CC=CC=C3)=O)C2=O)(SC1(C)C)[H],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].C[N+](C)(C)CCO,452.577,>0.1109,,?,T-47D,MTT,"Ferraz, 2015, ChemMedChem",10.1002/cmdc.201500142,LD50 0.1109 mM
"2-hydroxy-N,N,N-trimethylethan-1-aminium (2S,5R,6R)-6-((R)-2-amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",C21H32N4O5S,1418122-69-6,C([N+](C)(C)C)CO.C([O-])(=O)[C@@H]1N2[C@@]([C@H](NC([C@H](N)C3=CC=CC=C3)=O)C2=O)(SC1(C)C)[H],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].C[N+](C)(C)CCO,452.577,>0.000982,,?,PC3,MTT,"Ferraz, 2015, ChemMedChem",10.1002/cmdc.201500142,"LD50 = 0.01716 mM, 0.000514 mM (SD)."
"2-hydroxy-N,N,N-trimethylethan-1-aminium (2S,5R,6R)-6-((R)-2-amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",C21H32N4O5S,1418122-69-6,C([N+](C)(C)C)CO.C([O-])(=O)[C@@H]1N2[C@@]([C@H](NC([C@H](N)C3=CC=CC=C3)=O)C2=O)(SC1(C)C)[H],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].C[N+](C)(C)CCO,452.577,0.4848,0.00057 (SD),?,SF,MTT,"Ferraz, 2015, ChemMedChem",10.1002/cmdc.201500142,"LD50 = 0.04979 mM, 0.000368 mM (SD), skin fibroblasts."
"2-hydroxy-N,N,N-trimethylethan-1-aminium (4-(((2,4-diaminopteridin-6-yl)methyl)(methyl)amino)benzoyl)-L-glutamate",C30H48N10O7,,OCC[N+](C)(C)C.OCC[N+](C)(C)C.NC1=NC(N)=NC2=C1N=C(C=N2)CN(C)C3=CC=C(C(N[C@@H](CCC([O-])=O)C([O-])=O)=O)C=C3,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1.C[N+](C)(C)CCO.C[N+](C)(C)CCO,660.777,0.0921,,24,B16F10,WST-1,"Moshikur, 2021, Int. J. Pharm.",10.1016/j.ijpharm.2021.121129,
"2-hydroxy-N,N,N-trimethylethan-1-aminium (4aS,6aS,6bR,8aR,10S,12aR,12bR,14bS)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylate",C35H61NO4,1892616-14-6,C([N+](C)(C)C)CO.C[C@]12[C@@]3(C)C([C@]4([C@@](C([O-])=O)(CC3)CCC(C)(C)C4)[H])=CC[C@@]1([C@]5(C)[C@@](CC2)(C(C)(C)[C@@H](O)CC5)[H])[H],CC1(C)CC[C@]2(C(=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.C[N+](C)(C)CCO,559.876,0.03166,,48,HepG2,MTT,"Fan, 2021, J. Mol. Liq.",10.1016/j.molliq.2021.115837,
"2-hydroxy-N,N,N-trimethylethan-1-aminium (9Z,12Z)-octadeca-9,12-dienoate",C23H45NO3,2366158-50-9,C([N+](C)(C)C)CO.C(C/C=C\C/C=C\CCCCC)CCCCCC([O-])=O,CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-].C[N+](C)(C)CCO,383.617,0.33,,24,NIH/3T3,WST-8,"Ali, 2019, J. Colloid Interface Sci.",10.1016/j.jcis.2019.04.095,
"2-hydroxy-N,N,N-trimethylethan-1-aminium (Z)-docos-13-enoate",C27H55NO3,2366158-51-0,C([N+](C)(C)C)CO.C(CCCC/C=C\CCCCCCCC)CCCCCCC([O-])=O,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)[O-].C[N+](C)(C)CCO,441.741,0.29,,24,NIH/3T3,WST-8,"Ali, 2019, J. Colloid Interface Sci.",10.1016/j.jcis.2019.04.095,
"2-hydroxy-N,N,N-trimethylethan-1-aminium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate",C9H14F9NO4S,1621063-56-6,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,403.263,>10,,24,CaCo-2,MTS,"Vieira, 2019, Chemosphere",10.1016/j.chemosphere.2018.10.159,
"2-hydroxy-N,N,N-trimethylethan-1-aminium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate",C9H14F9NO4S,1621063-56-6,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,403.263,>10,,24,HepG2,MTS,"Vieira, 2019, Chemosphere",10.1016/j.chemosphere.2018.10.159,
"2-hydroxy-N,N,N-trimethylethan-1-aminium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate",C9H14F9NO4S,1621063-56-6,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,403.263,>10,,24,EA.hy926,MTS,"Vieira, 2019, Chemosphere",10.1016/j.chemosphere.2018.10.159,
"2-hydroxy-N,N,N-trimethylethan-1-aminium 2-(6-methoxynaphthalen-2-yl)propanoate",C19H27NO4,134240-96-3,O=C([O-])C(C1=CC=C2C=C(OC)C=CC2=C1)C.OCC[N+](C)(C)C,COc1ccc2cc(C(C)C(=O)[O-])ccc2c1.C[N+](C)(C)CCO,333.428,0.7833,,48,L929,MTT,"Tang, 2023, ACS Omega ",10.1021/acsomega.2c07044,CAS for neutral compound
"2-hydroxy-N,N,N-trimethylethan-1-aminium 2-amino-3-carboxypropanoate",C9H20N2O5,2411393-40-1,O=C([O-])C(N)CC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.NC(CC(=O)O)C(=O)[O-],236.268,55.784,,72,L02,WST-8,"Yuan, 2022, RSC Adv.",10.1039/d1ra07080k,
"2-hydroxy-N,N,N-trimethylethan-1-aminium 2-amino-3-methylpentanoate",C11H26N2O3,1361335-84-3,O=C([O-])C(N)C(C)CC.OCC[N+](C)(C)C,CCC(C)C(N)C(=O)[O-].C[N+](C)(C)CCO,234.34,42.289,,72,L02,WST-8,"Yuan, 2022, RSC Adv.",10.1039/d1ra07080k,
"2-hydroxy-N,N,N-trimethylethan-1-aminium 2-carboxyacetate",C8H17NO5,1622485-22-6,O=C([O-])CC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=C([O-])CC(=O)O,207.226,96.2,7.6 (SEM),?,M-HeLa,?,"Khachatrian, 2023, J. Mol. Liq.",10.1016/j.molliq.2023.121995,"Cytotoxicity assay, incubation time, and measurement unit are not specified."
"2-hydroxy-N,N,N-trimethylethan-1-aminium 2-carboxyacetate",C8H17NO5,1622485-22-6,O=C([O-])CC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=C([O-])CC(=O)O,207.226,77.5,6.1 (SEM),?,MCF-7,?,"Khachatrian, 2023, J. Mol. Liq.",10.1016/j.molliq.2023.121995,"Cytotoxicity assay, incubation time, and measurement unit are not specified."
"2-hydroxy-N,N,N-trimethylethan-1-aminium 2-carboxyacetate",C8H17NO5,1622485-22-6,O=C([O-])CC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=C([O-])CC(=O)O,207.226,>100,,?,A549,?,"Khachatrian, 2023, J. Mol. Liq.",10.1016/j.molliq.2023.121995,"Cytotoxicity assay, incubation time, and measurement unit are not specified."
"2-hydroxy-N,N,N-trimethylethan-1-aminium 2-carboxyacetate",C8H17NO5,1622485-22-6,O=C([O-])CC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=C([O-])CC(=O)O,207.226,54.4,4.3 (SEM),?,Chang,?,"Khachatrian, 2023, J. Mol. Liq.",10.1016/j.molliq.2023.121995,"Cytotoxicity assay, incubation time, and measurement unit are not specified."
"2-hydroxy-N,N,N-trimethylethan-1-aminium 3-carboxypropanoate",C9H19NO5,143896-90-6,O=C([O-])CCC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=C([O-])CCC(=O)O,221.253,67.4,5.3 (SEM),?,M-HeLa,?,"Khachatrian, 2023, J. Mol. Liq.",10.1016/j.molliq.2023.121995,"Cytotoxicity assay, incubation time, and measurement unit are not specified."
"2-hydroxy-N,N,N-trimethylethan-1-aminium 3-carboxypropanoate",C9H19NO5,143896-90-6,O=C([O-])CCC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=C([O-])CCC(=O)O,221.253,53.7,4.2 (SEM),?,MCF-7,?,"Khachatrian, 2023, J. Mol. Liq.",10.1016/j.molliq.2023.121995,"Cytotoxicity assay, incubation time, and measurement unit are not specified."
"2-hydroxy-N,N,N-trimethylethan-1-aminium 3-carboxypropanoate",C9H19NO5,143896-90-6,O=C([O-])CCC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=C([O-])CCC(=O)O,221.253,100,9.3 (SEM),?,A549,?,"Khachatrian, 2023, J. Mol. Liq.",10.1016/j.molliq.2023.121995,"Cytotoxicity assay, incubation time, and measurement unit are not specified."
"2-hydroxy-N,N,N-trimethylethan-1-aminium 3-carboxypropanoate",C9H19NO5,143896-90-6,O=C([O-])CCC(=O)O.OCC[N+](C)(C)C,C[N+](C)(C)CCO.O=C([O-])CCC(=O)O,221.253,49,3.9 (SEM),?,Chang,?,"Khachatrian, 2023, J. Mol. Liq.",10.1016/j.molliq.2023.121995,"Cytotoxicity assay, incubation time, and measurement unit are not specified."
"2-hydroxy-N,N,N-trimethylethan-1-aminium acetate",C7H17NO3,14586-35-7,O=C([O-])C.OCC[N+](C)(C)C,CC(=O)[O-].C[N+](C)(C)CCO,163.217,137.77,130.87-144.67 (CI),24,U937,Flow cytometry (7AAD),"Dzhemileva, 2021, Green Chem.",10.1039/d1gc01520f,Triggers mitochondrial apoptosis in Jurkat cells.
"2-hydroxy-N,N,N-trimethylethan-1-aminium acetate",C7H17NO3,14586-35-7,O=C([O-])C.OCC[N+](C)(C)C,CC(=O)[O-].C[N+](C)(C)CCO,163.217,153.09,146.34-159.84 (CI),24,Jurkat,Flow cytometry (7AAD),"Dzhemileva, 2021, Green Chem.",10.1039/d1gc01520f,Triggers mitochondrial apoptosis in Jurkat cells.
"2-hydroxy-N,N,N-trimethylethan-1-aminium acetate",C7H17NO3,14586-35-7,O=C([O-])C.OCC[N+](C)(C)C,CC(=O)[O-].C[N+](C)(C)CCO,163.217,100.4,94.59-106.21 (CI),24,HL60,Flow cytometry (7AAD),"Dzhemileva, 2021, Green Chem.",10.1039/d1gc01520f,Triggers mitochondrial apoptosis in Jurkat cells.
"2-hydroxy-N,N,N-trimethylethan-1-aminium acetate",C7H17NO3,14586-35-7,O=C([O-])C.OCC[N+](C)(C)C,CC(=O)[O-].C[N+](C)(C)CCO,163.217,86.62,82.94-90.3 (CI),24,K562,Flow cytometry (7AAD),"Dzhemileva, 2021, Green Chem.",10.1039/d1gc01520f,Triggers mitochondrial apoptosis in Jurkat cells.
"2-hydroxy-N,N,N-trimethylethan-1-aminium acetate",C7H17NO3,14586-35-7,O=C([O-])C.OCC[N+](C)(C)C,CC(=O)[O-].C[N+](C)(C)CCO,163.217,256.15,232.39-279.91 (CI),24,HEK293,PrestoBlue,"Dzhemileva, 2021, Green Chem.",10.1039/d1gc01520f,Triggers mitochondrial apoptosis in Jurkat cells.
"2-hydroxy-N,N,N-trimethylethan-1-aminium acetate",C7H17NO3,14586-35-7,O=C([O-])C.OCC[N+](C)(C)C,CC(=O)[O-].C[N+](C)(C)CCO,163.217,143.14,127.96-158.32 (CI),24,A549,PrestoBlue,"Dzhemileva, 2021, Green Chem.",10.1039/d1gc01520f,Triggers mitochondrial apoptosis in Jurkat cells.
"2-hydroxy-N,N,N-trimethylethan-1-aminium acetate",C7H17NO3,14586-35-7,O=C([O-])C.OCC[N+](C)(C)C,CC(=O)[O-].C[N+](C)(C)CCO,163.217,149.1,133.79-164.41 (CI),24,A2780,PrestoBlue,"Dzhemileva, 2021, Green Chem.",10.1039/d1gc01520f,Triggers mitochondrial apoptosis in Jurkat cells.
"2-hydroxy-N,N,N-trimethylethan-1-aminium acetate",C7H17NO3,14586-35-7,O=C([O-])C.OCC[N+](C)(C)C,CC(=O)[O-].C[N+](C)(C)CCO,163.217,55,9 (SD),24,HCE,AlamarBlue,"Ruokonen, 2018, Chem. Eur. J.",10.1002/chem.201704924,
"2-hydroxy-N,N,N-trimethylethan-1-aminium alaninate",C8H20N2O3,1248335-96-7,O=C([O-])C(N)C.OCC[N+](C)(C)C,CC(N)C(=O)[O-].C[N+](C)(C)CCO,192.259,41.647,,72,L02,WST-8,"Yuan, 2022, RSC Adv.",10.1039/d1ra07080k,
"2-hydroxy-N,N,N-trimethylethan-1-aminium bis((perfluorobutyl)sulfonyl)imide",C13H14F18N2O5S2,334529-59-8,O=S([N-]S(=O)(C(F)(C(F)(F)C(F)(F)C(F)(F)F)F)=O)(C(F)(C(F)(F)C(F)(F)C(F)(F)F)F)=O.C[N+](C)(CCO)C,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,684.362,0.1368,,24,CaCo-2,MTS,"Vieira, 2019, Chemosphere",10.1016/j.chemosphere.2018.10.159,
