Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw, g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
"2-ethyl-N-(2-(2-hydroxyacetamido)ethyl)-N,N-dimethylhexan-1-aminium bromide",C14H31BrN2O2,2448401-07-6,[Br-].O=C(NCC[N+](C)(C)CC(CC)CCCC)CO,CCCCC(CC)C[N+](C)(C)CCNC(=O)CO.[Br-],339.318,0.88,0.31 (SEM),24,HCT-116,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N-(2-(2-hydroxyacetamido)ethyl)-N,N-dimethylhexan-1-aminium bromide",C14H31BrN2O2,2448401-07-6,[Br-].O=C(NCC[N+](C)(C)CC(CC)CCCC)CO,CCCCC(CC)C[N+](C)(C)CCNC(=O)CO.[Br-],339.318,0.88,0.32 (SEM),24,MCF-7,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N-(2-hexanamidoethyl)-N,N-dimethylhexan-1-aminium bromide",C18H39BrN2O,2448401-09-8,[Br-].O=C(NCC[N+](C)(C)CC(CC)CCCC)CCCCC,CCCCCC(=O)NCC[N+](C)(C)CC(CC)CCCC.[Br-],379.427,1.18,0.06 (SEM),24,HeLa,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N-(2-hexanamidoethyl)-N,N-dimethylhexan-1-aminium bromide",C18H39BrN2O,2448401-09-8,[Br-].O=C(NCC[N+](C)(C)CC(CC)CCCC)CCCCC,CCCCCC(=O)NCC[N+](C)(C)CC(CC)CCCC.[Br-],379.427,1.18,0.15 (SEM),24,HCT-116,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N-(2-hexanamidoethyl)-N,N-dimethylhexan-1-aminium bromide",C18H39BrN2O,2448401-09-8,[Br-].O=C(NCC[N+](C)(C)CC(CC)CCCC)CCCCC,CCCCCC(=O)NCC[N+](C)(C)CC(CC)CCCC.[Br-],379.427,1.18,0.19 (SEM),24,MCF-7,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",C20H39F6N3O10S2,2357179-70-3,S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)(=O)=O.C(C[N+](CCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC,CCCCC(CC)C[N+](C)(C)CCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,659.665,0.24,0.12 (SEM),24,HeLa,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,CAS for isomeric structure.
"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",C20H39F6N3O10S2,2357179-70-3,S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)(=O)=O.C(C[N+](CCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC,CCCCC(CC)C[N+](C)(C)CCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,659.665,0.087,0.09 (SEM),24,HCT-116,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,CAS for isomeric structure.
"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",C20H39F6N3O10S2,2357179-70-3,S([N-]S(C(F)(F)F)(=O)=O)(C(F)(F)F)(=O)=O.C(C[N+](CCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC,CCCCC(CC)C[N+](C)(C)CCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,659.665,0.47,0.39 (SEM),24,MCF-7,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,CAS for isomeric structure.
"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bromide",C18H39BrN2O6,2448400-93-7,C(C[N+](CCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC.[Br-],CCCCC(CC)C[N+](C)(C)CCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],459.422,0.87,0.36 (SEM),24,HeLa,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bromide",C18H39BrN2O6,2448400-93-7,C(C[N+](CCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC.[Br-],CCCCC(CC)C[N+](C)(C)CCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],459.422,0.83,0.56 (SEM),24,HCT-116,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bromide",C18H39BrN2O6,2448400-93-7,C(C[N+](CCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC.[Br-],CCCCC(CC)C[N+](C)(C)CCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],459.422,1.12,0.25 (SEM),24,MCF-7,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",C21H41F6N3O10S2,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(NCCC[N+](C)(C)CC(CC)CCCC)=O.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O,CCCCC(CC)C[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,673.692,5,2.36 (SEM),24,HeLa,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",C21H41F6N3O10S2,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(NCCC[N+](C)(C)CC(CC)CCCC)=O.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O,CCCCC(CC)C[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,673.692,2.51,0.66 (SEM),24,HCT-116,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",C21H41F6N3O10S2,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(NCCC[N+](C)(C)CC(CC)CCCC)=O.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O,CCCCC(CC)C[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,673.692,3.12,1.26 (SEM),24,MCF-7,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bromide",C19H41BrN2O6,2448400-98-2,C(C[N+](CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC.[Br-],CCCCC(CC)C[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],473.449,1.81,0.89 (SEM),24,HeLa,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bromide",C19H41BrN2O6,2448400-98-2,C(C[N+](CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC.[Br-],CCCCC(CC)C[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],473.449,0.71,0.75 (SEM),24,HCT-116,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bromide",C19H41BrN2O6,2448400-98-2,C(C[N+](CCCNC([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)=O)(C)C)(CCCC)CC.[Br-],CCCCC(CC)C[N+](C)(C)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Br-],473.449,1.09,0.71 (SEM),24,MCF-7,MTS,"Billeci, 2019, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.9b05507,
2-hydroxyethan-1-aminium 2-hydroxyacetate,C4H11NO4,68141-00-4,[NH3+]CCO.OCC([O-])=O,O=C([O-])CO.[NH3+]CCO,137.135,1.7,0.5 (ND),24,HaCat,MTT,"Arunkumar, 2020, J. Mol. Liq.",10.1016/j.molliq.2020.113602,CAS for neutral compound
"2-hydroxyethan-1-aminium 2-hydroxypropane-1,2,3-tricarboxylate",C12H29N3O10,,[NH3+]CCO.[NH3+]CCO.[NH3+]CCO.OC(C([O-])=O)(CC([O-])=O)CC([O-])=O,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH3+]CCO.[NH3+]CCO.[NH3+]CCO,375.375,0.01512,0.00032 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,
"2-hydroxyethan-1-aminium 2-hydroxypropane-1,2,3-tricarboxylate",C12H29N3O10,,[NH3+]CCO.[NH3+]CCO.[NH3+]CCO.OC(C([O-])=O)(CC([O-])=O)CC([O-])=O,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH3+]CCO.[NH3+]CCO.[NH3+]CCO,375.375,0.03567,0.00164 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,
2-hydroxyethan-1-aminium 2-hydroxypropanoate,C5H13NO4,68815-69-0,[NH3+]CCO.OC(C)C([O-])=O,CC(O)C(=O)[O-].[NH3+]CCO,151.162,0.06613,0.01606 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
2-hydroxyethan-1-aminium 2-hydroxypropanoate,C5H13NO4,68815-69-0,[NH3+]CCO.OC(C)C([O-])=O,CC(O)C(=O)[O-].[NH3+]CCO,151.162,0.3721,0.06792 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
2-hydroxyethan-1-aminium acetate,C4H11NO3,54300-24-2,CC([O-])=O.[NH3+]CCO,CC(=O)[O-].[NH3+]CCO,121.136,2.5,0.5 (ND),24,HaCat,MTT,"Arunkumar, 2020, J. Mol. Liq.",10.1016/j.molliq.2020.113602,CAS for neutral compound
2-hydroxyethan-1-aminium acetate,C4H11NO3,54300-24-2,CC([O-])=O.[NH3+]CCO,CC(=O)[O-].[NH3+]CCO,121.136,0.1423,0.00032 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
2-hydroxyethan-1-aminium acetate,C4H11NO3,54300-24-2,CC([O-])=O.[NH3+]CCO,CC(=O)[O-].[NH3+]CCO,121.136,0.1938,0.05504 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
2-hydroxyethan-1-aminium adipate,C10H24N2O6,,[NH3+]CCO.[NH3+]CCO.O=C([O-])CCCCC([O-])=O,O=C([O-])CCCCC(=O)[O-].[NH3+]CCO.[NH3+]CCO,268.31,0.02054,0.00952 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,
2-hydroxyethan-1-aminium adipate,C10H24N2O6,,[NH3+]CCO.[NH3+]CCO.O=C([O-])CCCCC([O-])=O,O=C([O-])CCCCC(=O)[O-].[NH3+]CCO.[NH3+]CCO,268.31,0.09152,0.00786 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,
2-hydroxyethan-1-aminium formate,C3H9NO3,53226-35-0,[O-]C=O.[NH3+]CCO,O=C[O-].[NH3+]CCO,107.109,~0.4,,24,HaCat,MTT,"Arunkumar, 2020, J. Mol. Liq.",10.1016/j.molliq.2020.113602,CAS for neutral compound
2-hydroxyethan-1-aminium formate,C3H9NO3,53226-35-0,[O-]C=O.[NH3+]CCO,O=C[O-].[NH3+]CCO,107.109,0.09197,0.00802 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
2-hydroxyethan-1-aminium formate,C3H9NO3,53226-35-0,[O-]C=O.[NH3+]CCO,O=C[O-].[NH3+]CCO,107.109,0.1956,0.00336 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
2-hydroxyethan-1-aminium nitrate,C2H8N2O4,20748-72-5,[NH3+]CCO.[O-][N+]([O-])=O,O=[N+]([O-])[O-].[NH3+]CCO,124.096,<0.4,,24,HaCat,MTT,"Arunkumar, 2020, J. Mol. Liq.",10.1016/j.molliq.2020.113602,CAS for neutral compound
2-hydroxyethan-1-aminium oleate,C20H41NO3, 2272-11-9,CCCCCCCC/C=C\CCCCCCCC([O-])=O.OCC[NH3+],CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[NH3+]CCO,343.552,<0.5,,48,HaCat,WST-8,"Ortega Vega, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.126896,CAS for neutral compound
2-hydroxyethan-1-aminium propionate,C5H13NO3,29868-00-6,[NH3+]CCO.CCC([O-])=O,CCC(=O)[O-].[NH3+]CCO,135.163,0.05879,0.00452 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
2-hydroxyethan-1-aminium propionate,C5H13NO3,29868-00-6,[NH3+]CCO.CCC([O-])=O,CCC(=O)[O-].[NH3+]CCO,135.163,0.06678,0.01042 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
2-hydroxy-N-methylethan-1-aminium oleate,C21H43NO3,2244513-99-1,OCC[NH2+]C.CCCCCCCC/C=C\CCCCCCCC([O-])=O,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].C[NH2+]CCO,357.579,<0.5,,48,HaCat,WST-8,"Ortega Vega, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.126896,CAS for neutral compound
2-methoxy-2-oxoethan-1-aminium nitrate,C3H8N2O5,863889-69-4,[NH3+]CC(OC)=O.[O-][N+]([O-])=O,COC(=O)C[NH3+].O=[N+]([O-])[O-],152.106,35,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,CAS for neutral compound
"6-(benzo[d][1,3]dioxol-5-ylmethyl)-5-(4,5-dimethoxy-3-oxo-1,3-dihydroisobenzofuran-1-yl)-4-methoxy-6-methyl-5,6,7,8-tetrahydro-[1,3]dioxolo[4,5-g]isoquinolin-6-ium acetate",C32H33NO11,2499950-11-5,O=C1OC(C2=CC=C(OC)C(OC)=C12)C3C4=C(OC)C=5OCOC5C=C4CC[N+]3(C)CC6=CC=C7OCOC7=C6.O=C([O-])C,CC(=O)[O-].COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CC[N+]1(C)Cc1ccc2c(c1)OCO2,607.612,0.0235,,72,HeLa,MTT,"Sehrawat, 2020, J. Mol. Liq.",10.1016/j.molliq.2020.112525,
"6-(benzo[d][1,3]dioxol-5-ylmethyl)-5-(4,5-dimethoxy-3-oxo-1,3-dihydroisobenzofuran-1-yl)-4-methoxy-6-methyl-5,6,7,8-tetrahydro-[1,3]dioxolo[4,5-g]isoquinolin-6-ium trifluoromethanesulfonate",C31H30F3NO12S,2499950-25-1,O=C1OC(C2=CC=C(OC)C(OC)=C12)C3C4=C(OC)C=5OCOC5C=C4CC[N+]3(C)CC6=CC=C7OCOC7=C6.O=S(=O)([O-])C(F)(F)F,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CC[N+]1(C)Cc1ccc2c(c1)OCO2.O=S(=O)([O-])C(F)(F)F,697.637,0.0172,,72,HeLa,MTT,"Sehrawat, 2020, J. Mol. Liq.",10.1016/j.molliq.2020.112525,
bis(2-hydroxyethyl)ammonium 2-hydroxybenzoate,C11H17NO5,109962-24-5,OCC[NH2+]CCO.OC1=CC=CC=C1C([O-])=O,O=C([O-])c1ccccc1O.OCC[NH2+]CCO,243.259,0.00891,0.00228 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
bis(2-hydroxyethyl)ammonium 2-hydroxybenzoate,C11H17NO5,109962-24-5,OCC[NH2+]CCO.OC1=CC=CC=C1C([O-])=O,O=C([O-])c1ccccc1O.OCC[NH2+]CCO,243.259,0.04823,0.00468 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
"bis(2-hydroxyethyl)ammonium 2-hydroxypropane-1,2,3-tricarboxylate",C18H41N3O13,,OCC[NH2+]CCO.OCC[NH2+]CCO.OCC[NH2+]CCO.OC(C([O-])=O)(CC([O-])=O)CC([O-])=O,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].OCC[NH2+]CCO.OCC[NH2+]CCO.OCC[NH2+]CCO,507.534,0.01907,0.00286 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,
"bis(2-hydroxyethyl)ammonium 2-hydroxypropane-1,2,3-tricarboxylate",C18H41N3O13,,OCC[NH2+]CCO.OCC[NH2+]CCO.OCC[NH2+]CCO.OC(C([O-])=O)(CC([O-])=O)CC([O-])=O,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].OCC[NH2+]CCO.OCC[NH2+]CCO.OCC[NH2+]CCO,507.534,0.03692,0.01434 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,
bis(2-hydroxyethyl)ammonium 2-hydroxypropanoate,C7H17NO5,101901-23-9,OCC[NH2+]CCO.OC(C)C([O-])=O,CC(O)C(=O)[O-].OCC[NH2+]CCO,195.215,0.04124,0.0033 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
bis(2-hydroxyethyl)ammonium 2-hydroxypropanoate,C7H17NO5,101901-23-9,OCC[NH2+]CCO.OC(C)C([O-])=O,CC(O)C(=O)[O-].OCC[NH2+]CCO,195.215,0.08854,0.02112 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
bis(2-hydroxyethyl)ammonium acetate,C6H15NO4,23251-72-1,CC([O-])=O.OCC[NH2+]CCO,CC(=O)[O-].OCC[NH2+]CCO,165.189,0.9,0.5 (ND),24,HaCat,MTT,"Arunkumar, 2020, J. Mol. Liq.",10.1016/j.molliq.2020.113602,CAS for neutral compound
bis(2-hydroxyethyl)ammonium acetate,C6H15NO4,23251-72-1,CC([O-])=O.OCC[NH2+]CCO,CC(=O)[O-].OCC[NH2+]CCO,165.189,0.02598,0.00696 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
bis(2-hydroxyethyl)ammonium acetate,C6H15NO4,23251-72-1,CC([O-])=O.OCC[NH2+]CCO,CC(=O)[O-].OCC[NH2+]CCO,165.189,0.1784,0.10658 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
bis(2-hydroxyethyl)ammonium adipate,C14H32N2O8,,OCC[NH2+]CCO.OCC[NH2+]CCO.O=C(CCCCC([O-])=O)[O-],O=C([O-])CCCCC(=O)[O-].OCC[NH2+]CCO.OCC[NH2+]CCO,356.416,0.02877,0.00246 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,
bis(2-hydroxyethyl)ammonium adipate,C14H32N2O8,,OCC[NH2+]CCO.OCC[NH2+]CCO.O=C(CCCCC([O-])=O)[O-],O=C([O-])CCCCC(=O)[O-].OCC[NH2+]CCO.OCC[NH2+]CCO,356.416,0.07554,0.0683 (CI),24,HaCat,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,
bis(2-hydroxyethyl)ammonium benzoate,C11H17NO4,53926-87-7,OCC[NH2+]CCO.O=C([O-])C1=CC=CC=C1,O=C([O-])c1ccccc1.OCC[NH2+]CCO,227.26,0.02911,0.0044 (CI),24,HepG2,MTT,"Zanoni, 2019, Toxicol. Res.",10.1039/c8tx00338f,CAS for neutral compound
