Name,Empirical formula,CAS,SMILES,Canonical SMILES,Mw. g*mol-1,"CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
4-benzyl-4-methylmorpholin-4-ium 2-hydroxybenzoate,C19H23NO4,1350474-06-4,O=C([O-])C=1C=CC=CC1O.O1CC[N+](C)(CC=2C=CC=CC2)CC1,C[N+]1(Cc2ccccc2)CCOCC1.O=C([O-])c1ccccc1O,329.396,0.79,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium 2-hydroxypropanoate,C15H23NO4,1350474-02-0,O=C([O-])C(O)C.O1CC[N+](C)(CC=2C=CC=CC2)CC1,CC(O)C(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,281.352,>10.00,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium 2-methoxyacetate,C15H23NO4,1350473-89-0,O=C([O-])COC.O1CC[N+](C)(CC=2C=CC=CC2)CC1,COCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,281.352,7.94,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
"4-benzyl-4-methylmorpholin-4-ium 3-oxo-3H-benzo[d]isothiazol-2-ide 1,1-dioxide",C19H22N2O4S,1350474-07-5,O=C1[N-]S(=O)(=O)C=2C=CC=CC12.O1CC[N+](C)(CC=2C=CC=CC2)CC1,C[N+]1(Cc2ccccc2)CCOCC1.O=C1[N-]S(=O)(=O)c2ccccc21,374.462,3.16,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium acetate,C14H21NO3,1350473-87-8,O=C([O-])C.O1CC[N+](C)(CC=2C=CC=CC2)CC1,CC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,251.326,12.59,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium chloride,C12H18ClNO,55476-88-5,[Cl-].O1CC[N+](C)(CC=2C=CC=CC2)CC1,C[N+]1(Cc2ccccc2)CCOCC1.[Cl-],227.735,10.72,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium dodecyl sulfate,C24H43NO5S,1350473-98-1,O=S(=O)([O-])OCCCCCCCCCCCC.O1CC[N+](C)(CC=2C=CC=CC2)CC1,CCCCCCCCCCCCOS(=O)(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,457.677,0.25,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,Incubation time is 15 minutes.
4-benzyl-4-methylmorpholin-4-ium formate,C13H19NO3,1350473-85-6,O=C[O-].O1CC[N+](C)(CC=2C=CC=CC2)CC1,C[N+]1(Cc2ccccc2)CCOCC1.O=C[O-],237.299,12.59,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium hexanoate,C18H29NO3,1350473-94-7,O=C([O-])CCCCC.O1CC[N+](C)(CC=2C=CC=CC2)CC1,CCCCCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,307.434,4.27,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium hydrogen sulfate,C12H19NO5S,1350473-83-4,O=S(=O)([O-])O.O1CC[N+](C)(CC=2C=CC=CC2)CC1,C[N+]1(Cc2ccccc2)CCOCC1.O=S(=O)([O-])O,289.353,4.37,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium nitrate,C12H18N2O4,1346236-50-7,O=N(=O)[O-].O1CC[N+](C)(CC=2C=CC=CC2)CC1,C[N+]1(Cc2ccccc2)CCOCC1.O=[N+]([O-])[O-],254.286,10,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium octanoate,C20H33NO3,1350473-96-9,O=C([O-])CCCCCCC.O1CC[N+](C)(CC=2C=CC=CC2)CC1,CCCCCCCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,335.488,1.66,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-benzyl-4-methylmorpholin-4-ium tetrafluoroborate,C12H18BF4NO,1346236-51-8,F[B-](F)(F)F.O1CC[N+](C)(CC=2C=CC=CC2)CC1,C[N+]1(Cc2ccccc2)CCOCC1.F[B-](F)(F)F,279.086,0.41,,48,IPC-81,WST-1,"Pernak, 2011, Green Chem.",10.1039/c1gc15468k,
4-butyl-4-methylmorpholin-4-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O5S2,324574-95-0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O1CC[N+](C)(CC1)CCCC,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,438.412,2.7,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-butyl-4-methylmorpholin-4-ium bromide,C9H20BrNO,75174-77-5,[Br-].O1CC[N+](C)(CC1)CCCC,CCCC[N+]1(C)CCOCC1.[Br-],238.168999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
4-methyl-4-(2-(octyloxy)-2-oxoethyl)morpholin-4-ium bromide,C15H30BrNO3,1663455-89-7,[Br-].O=C(OCCCCCCCC)C[N+]1(C)CCOCC1,CCCCCCCCOC(=O)C[N+]1(C)CCOCC1.[Br-],352.313,>0.1,,24,C6,MTT,"Chauhan, 2015, J. Colloid Interface Sci.",10.1016/j.jcis.2015.01.044 ,The exposure time is not specified and is provided in accordance with other works by the same authors.
